Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP,BHP
hours,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
10.05981987,2230.160146,1590.892486,1308.638572,1702.271037,1650.958968,1310.522349,1177.518767,1332.292618,294.8526071,1702.271037
10.14541249,2248.509694,1590.1613,1308.236061,1703.576113,1648.615129,1325.793908,1181.085826,1326.449909,302.7325823,1703.576113
10.22672811,2224.72581,1590.079551,1309.66021,1703.904314,1636.923945,1339.485351,1170.640202,1319.750902,300.3519518,1703.904314
10.31243128,2245.466196,1590.669184,1309.466161,1703.648159,1629.343113,1328.084111,1161.86444,1330.115875,305.0947033,1703.648159
10.39702134,2224.821635,1589.701237,1308.976717,1703.10612,1619.627646,1309.545911,1148.267815,1334.581246,294.3574113,1703.10612
10.48609805,2242.353414,1590.762523,1309.844747,1702.871773,1605.475108,1285.899975,1151.964751,1321.956014,300.3918703,1702.871773
10.56755758,2236.794873,,1308.627819,1703.417155,,,,1322.822317,298.5628528,1703.417155
10.56781722,,,,,1601.928872,1288.734966,1145.944608,,,
10.64630653,2240.383942,1590.472259,1307.96124,1703.965543,1604.948529,1298.598593,1145.336414,1331.479079,298.0147962,1703.965543
10.72962238,2247.56397,,1309.424753,1702.770435,1609.288146,1301.188141,1156.663738,1327.488155,300.4103128,1702.770435
10.80755793,2233.060061,1590.075507,1308.634322,1703.594324,1611.145499,1308.719374,1170.615459,1320.409908,302.885724,1703.594324
10.88588517,2251.973647,,,,,,,,299.683089,
10.88615923,,1589.803893,1309.070898,,1607.113332,1321.649625,1179.816273,1327.208299,,
10.97621335,2232.719339,1590.823788,1309.647323,1703.452157,1599.181165,1338.492856,1173.033659,1336.287286,297.0567725,1703.452157
11.06508997,2252.701543,1589.41414,1308.38608,1702.91878,1606.764617,1332.443705,1167.177984,1324.267662,304.6961793,1702.91878
11.15238431,2231.356,1589.948104,1308.56804,1703.229038,1624.373894,1314.390825,1155.741025,1321.638194,298.4778017,1703.229038
11.23829501,2250.087273,1590.009449,1308.456201,1703.657781,1648.260308,1289.401375,1145.632818,1328.670456,301.8820536,1703.657781
11.32627217,2243.062247,1589.665154,1309.094559,1704.01826,1663.634343,1287.063927,1144.218712,1329.789008,293.578884,1704.01826
11.4141334,2248.103212,,,1702.86265,,,,,299.3560635,1702.86265
11.41440412,,,1309.610742,,1654.354338,1297.889807,1141.802319,1320.25499,,
11.50556981,2246.980929,1589.581124,1308.563028,1702.605546,1641.209413,1301.896235,1151.476502,1324.86449,299.3101796,1702.605546
11.58086238,2237.494557,1589.425637,1309.538071,1703.622835,1648.595084,1305.817099,1164.958689,1335.536687,299.8216306,1703.622835
11.66150435,2242.21376,1589.880336,1308.67284,1704.234114,1654.480865,1321.473743,1176.039923,1324.802663,292.8702418,1704.234114
11.73732509,2228.919911,,1308.454627,1703.984949,1634.433417,1338.705486,1171.271992,1321.214822,297.121786,1703.984949
11.82830602,2245.367042,1588.657204,1309.155216,1703.342248,1625.716017,1337.398929,1166.636425,1329.546933,284.4744973,1703.342248
11.91018838,2224.796794,1589.530109,1308.307208,,1609.041934,1321.023095,1151.278282,1329.845003,297.2692951,
11.98643114,2250.586594,1589.62785,1309.025491,1703.932721,,,,1319.956329,295.1515527,1703.932721
11.98671881,,,,,1606.414803,1296.978522,1144.098649,,,
12.06543219,2226.245429,1588.951345,1308.869976,1703.061265,1612.380925,1285.280056,1147.004492,1323.998786,294.8090191,1703.061265
12.15027214,,1589.536468,1309.598903,,1609.933899,1295.152014,1143.486862,1333.061054,,
12.15053441,2252.177217,,,,,,,,299.2285098,
12.23566991,2241.569494,1590.672962,1310.132695,1703.858142,1605.653416,1297.69589,1143.697291,1326.557019,297.6805431,1703.858142
12.31832983,2249.866771,1589.614315,1309.617501,1703.610975,1604.955941,1304.496897,1157.302666,1321.490177,297.472469,1703.610975
12.40358469,,1589.289414,1310.656774,,,,,1328.226965,,
12.40383501,2248.762012,,,1704.035367,1608.634184,1317.403702,1163.345386,,296.3003728,1704.035367
12.48200765,2241.827219,,1309.504543,1703.1955,1613.1255,1335.846706,1167.023135,1330.648677,297.5398503,1703.1955
12.57102166,2251.928822,1589.923018,1308.487018,1702.948312,1624.345379,1341.715629,1161.678969,1321.64755,297.8849261,1702.948312
12.64957248,2232.37267,1588.691236,1308.704836,1703.855029,1635.726197,1325.174234,1153.691977,1323.190353,300.4555575,1703.855029
12.73885289,2253.976802,1589.3637,1309.627606,1703.530192,1642.283531,1307.641111,1145.702481,1331.124309,301.8283219,1703.530192
12.81741135,2226.810063,1588.619133,,1703.921879,1647.554305,1284.857597,1140.443556,1329.342799,295.0232311,1703.921879
12.90526758,2248.100149,1589.472762,1309.269863,1704.196035,1655.774431,1288.187315,1136.178128,1320.479206,303.4445623,1704.196035
12.98608989,2219.653832,1588.187961,1310.246899,1703.62513,1649.483393,1294.551267,1144.743496,1325.518302,302.2218816,1703.62513
13.07127428,2246.392866,1589.330434,1309.171032,1703.495623,1635.517611,1299.388376,1158.417642,1332.520357,298.6292889,1703.495623
13.15567617,2229.508135,1588.890354,1308.91421,1703.549763,1635.242417,1313.989714,1163.640888,1323.059262,300.9507983,1703.549763
13.24036431,2248.075507,,,1703.077222,1621.746572,1328.462452,1164.696011,,294.3593892,1703.077222
13.24157468,,1589.607043,1309.810318,,,,,1321.766735,,
13.32896425,2246.630241,1588.446767,1310.464171,1703.850835,1611.399596,1341.732258,1158.556977,1330.566057,301.6059792,1703.850835
13.41034371,2243.870347,1587.79011,1309.145351,1703.757139,1606.244722,1330.936155,1149.178594,1330.954398,300.8464363,1703.757139
13.49131586,2251.557195,1588.963712,1309.67298,1703.924902,1612.629438,1316.710791,1144.592418,1319.102952,298.8668375,1703.924902
